,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
14000,3.5507,4.0,7.32798833819242,1.161807580174927,1869.0,2.7244897959183674,34.59,-117.24,1.861
14001,1.2548,22.0,4.410041841004184,1.0,428.0,1.790794979079498,34.57,-117.29,0.683
14002,3.1917,6.0,7.058011049723757,1.441988950276243,1938.0,2.6767955801104972,34.57,-117.1,1.128
14003,1.4,20.0,5.9301533219761495,1.4310051107325383,1694.0,2.885860306643952,34.52,-116.9,0.777
14004,2.1339,20.0,6.674489795918367,1.4295918367346938,2631.0,2.6846938775510205,34.4,-116.94,0.785
14005,4.7396,52.0,7.098245614035088,1.056140350877193,649.0,2.2771929824561403,32.76,-117.18,4.417
14006,5.392,52.0,6.870535714285714,0.9464285714285714,535.0,2.388392857142857,32.75,-117.18,4.085
14007,8.603,52.0,7.673469387755102,1.0612244897959184,518.0,2.642857142857143,32.75,-117.18,4.596
14008,8.1548,52.0,7.868421052631579,1.2105263157894737,459.0,2.4157894736842107,32.75,-117.19,5.00001
14009,6.1309,52.0,6.578199052132701,1.009478672985782,513.0,2.4312796208530805,32.75,-117.19,4.116
14010,5.7914,52.0,7.188888888888889,0.9722222222222222,434.0,2.411111111111111,32.76,-117.19,5.00001
14011,2.7266,45.0,4.763993948562784,0.9667170953101362,1160.0,1.7549167927382754,32.76,-117.17,3.542
14012,3.654,38.0,4.9363636363636365,1.069090909090909,2357.0,2.1427272727272726,32.75,-117.17,2.49
14013,2.5288,39.0,4.539130434782609,1.0695652173913044,1200.0,1.7391304347826086,32.74,-117.18,2.74
14014,2.7222,36.0,4.297551789077213,1.0056497175141244,918.0,1.728813559322034,32.75,-117.18,2.847
14015,3.0726,52.0,5.233830845771144,1.1890547263681592,381.0,1.8955223880597014,32.75,-117.17,2.896
14016,2.9705,23.0,4.615671641791045,1.1082089552238805,1107.0,2.0652985074626864,32.75,-117.16,2.455
14017,1.9637,49.0,3.7374701670644392,1.1789976133651552,643.0,1.5346062052505967,32.75,-117.16,1.375
14018,2.6042,52.0,3.4216867469879517,1.0522088353413654,389.0,1.5622489959839359,32.74,-117.16,2.25
14019,3.06,21.0,3.904564315352697,1.008298755186722,903.0,1.8734439834024896,32.74,-117.16,2.438
